memory_score,subj_idx,word,emotional,trialnr_enc,pupil_baseline_enc,pupil_dilation_enc,recalled_d1,recalled_d2,trialnr_recog,target_oldnew,recog_oldnew,rt_recog,confidence_recog,rt_confidence_recog,pupil_baseline_recog,pupil_dilation_recog
3,1,1,1,55,0.347225726226938,0.452714717046682,0,0,6,1,1,2138.29970148026,3,3203.68244892688,0.743654158476306,-0.0644594672251384
NaN,1,2,1,NaN,NaN,NaN,NaN,NaN,125,0,0,4284.90926039831,NaN,NaN,-0.499978731547469,1.52394872155026
NaN,1,3,1,116,-0.3878219159685,1.06573865073582,0,0,29,1,0,3826.21090389284,NaN,NaN,-0.558892054420928,0.987001304212701
4,1,4,1,26,-1.42308988401135,1.65385983049249,0,0,4,1,1,3371.47067635578,4,1209.74683243821,0.801647190407674,0.0709707849579835
NaN,1,5,1,68,0.631623754859006,-0.492722472321529,0,0,144,1,0,1692.43134142653,NaN,NaN,0.449626841706776,-0.0947283251951859
NaN,1,6,1,NaN,NaN,NaN,NaN,NaN,240,0,1,3232.47680265104,2,543.165707635126,0.108427229044604,0.983161191278836
NaN,1,7,1,NaN,NaN,NaN,NaN,NaN,74,0,1,3692.08393453209,1,386.243328536693,0.486328199405137,0.487705765202202
NaN,1,8,1,102,-2.71403561909774,0.841392859448367,0,0,182,1,0,4532.52119887793,NaN,NaN,-1.03958524780623,1.57938676575441
2,1,9,1,108,0.116674347739241,0.610581201081877,0,0,55,1,1,2441.51214063595,2,443.265855772552,-0.699707059164714,1.70335990231059
NaN,1,10,1,NaN,NaN,NaN,NaN,NaN,165,0,1,3132.0200732539,1,386.76427848759,0.604421802838852,-0.882176581879866
4,1,11,1,15,-0.0278509798375205,-0.604137373815003,0,0,2,1,1,2169.84379841779,4,2490.03009576609,0.741822419246798,0.774985684398097
NaN,1,12,1,NaN,NaN,NaN,NaN,NaN,171,0,0,3412.32931992317,NaN,NaN,0.304376318692721,0.131168930041487
NaN,1,13,1,81,-0.287832639771355,1.18001128166333,0,0,162,1,0,2334.86335649559,NaN,NaN,-0.109450998538155,-0.165586060428465
NaN,1,14,1,NaN,NaN,NaN,NaN,NaN,210,0,0,1303.2345731126,NaN,NaN,-0.788403130881313,1.04485929907678
NaN,1,15,1,120,0.348913485085824,0.322884713476662,0,0,92,1,0,1802.13429088917,NaN,NaN,0.643980991426754,-0.167930917592364
4,1,16,1,101,-0.441549412799195,0.0444184284699276,0,0,226,1,1,1113.47085471061,4,653.804378161112,-0.291082698423927,0.977854254287612
2,1,17,1,18,0.368235917227913,-0.308235523313596,0,0,185,1,1,1148.45950865174,2,754.186365353689,-0.0481814593450248,0.659608006087606
