## [BeGaze]
Participant	Sample Rate	BeGaze Version	Recorded On	Converted From	Calibration Area [px]	Stimulus Dimension [mm]	System ID	iViewX Version
36bw-aud	60	3.7.42	12.07.2017 10:26:42	C:\Users\ap2mitarbeiter\Desktop\PupilsMemory\eyeTracker\iViewXSDK_Matlab_PupilsMemory_Data_VP36bw-aud_2017_07_12-10_40_19.idf	1920x1200	518x324	EXP-4022-1	4.4.0.0
## [Data]
RecordingTime [ms],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Content
108638.7980,Information,Separator,Separator,1,1,-,-,-,-,-,-,startrecording.jpg
108646.8110,Information,User Event,User Event,2,2,-,-,-,-,-,-,begin:phase1_stimType:aud
108665.5350,Eye,Fixation,Fixation,1,1,3.5605,3.6982,951.2297,644.7090,934.4641,597.1556,-
108704.2540,Eye,Fixation,Fixation,1,1,3.5649,3.7039,952.7165,644.1359,935.8958,607.2567,-
108742.9730,Eye,Fixation,Fixation,1,1,3.5695,3.7081,954.7861,643.2330,937.4845,609.6956,-
108781.6920,Eye,Fixation,Fixation,1,1,3.5762,3.7135,956.8255,642.4075,939.1108,617.1001,-
108820.4110,Eye,Fixation,Fixation,1,1,3.5842,3.7201,958.9463,641.9758,939.1488,607.8288,-
108859.1300,Eye,Fixation,Fixation,1,1,3.5878,3.7294,960.4470,641.6373,941.7819,607.4172,-
108897.8490,Eye,Fixation,Fixation,1,1,3.5959,3.7368,962.5422,640.6757,943.4337,608.8242,-
108936.5680,Eye,Fixation,Fixation,1,1,3.6144,3.7420,963.8991,639.8579,942.2198,609.7456,-
108975.2870,Eye,Fixation,Fixation,1,1,3.6251,3.7537,965.2274,639.7127,943.6017,615.6620,-
109014.0050,Eye,Fixation,Fixation,1,1,3.6388,3.7691,965.7539,639.8105,946.3098,617.4996,-
109052.7240,Eye,Fixation,Fixation,1,1,3.6528,3.7761,967.0180,639.2097,945.1471,612.9115,-
109091.4430,Eye,Fixation,Fixation,1,1,3.6776,3.7874,967.5026,639.3594,943.6759,616.5460,-
109130.1620,Eye,Fixation,Fixation,1,1,3.6988,3.8103,969.6466,638.9785,947.1982,614.4509,-
109168.8810,Eye,Saccade,Saccade,1,1,3.7135,3.8297,971.0755,639.0030,947.1625,612.9246,-
109207.6000,Eye,Fixation,Fixation,2,2,3.7298,3.8350,733.3524,635.1494,714.5402,605.7035,-
109246.3190,Eye,Fixation,Fixation,2,2,3.7382,3.8324,743.5426,632.9159,718.1040,605.7993,-
109285.0380,Eye,Fixation,Fixation,2,2,3.7273,3.8203,745.8159,632.4481,720.3019,609.7913,-
109323.7570,Eye,Fixation,Fixation,2,2,3.7168,3.8019,744.6020,633.0267,721.9082,610.0278,-
109362.4760,Eye,Fixation,Fixation,2,2,3.6963,3.7756,744.3344,630.6142,722.5867,607.3841,-
109401.1950,Eye,Fixation,Fixation,2,2,3.6588,3.7353,744.5812,628.2737,728.1584,604.3637,-
109439.9140,Eye,Fixation,Fixation,2,2,3.6240,3.6949,742.2432,625.3579,727.9289,600.2563,-
109478.6330,Eye,Fixation,Fixation,2,2,3.5927,3.6562,711.0005,623.8745,705.3819,603.1580,-
109517.3520,Eye,Fixation,Fixation,2,2,3.5610,3.6185,688.3874,624.5997,696.7010,602.0998,-
109556.0710,Eye,Fixation,Fixation,2,2,3.5237,3.5768,703.3774,626.6825,694.3616,605.8307,-
109594.7890,Eye,Fixation,Fixation,2,2,3.4895,3.5408,690.7644,625.0816,696.3355,609.9017,-
109633.5080,Eye,Saccade,Saccade,2,2,3.4578,3.4958,709.0872,632.6245,704.8386,617.6904,-
109672.2270,Eye,Fixation,Fixation,3,3,3.4260,3.4616,835.6033,632.6785,847.8305,612.5810,-
109710.9460,Eye,Fixation,Fixation,3,3,3.4021,3.4275,833.5883,635.0197,845.7303,608.9171,-
109749.6650,Eye,Fixation,Fixation,3,3,3.3755,3.3970,834.1261,639.0198,842.6271,610.8885,-
109788.3840,Eye,Fixation,Fixation,3,3,3.3497,3.3695,834.4575,644.0236,842.2650,616.2005,-
109827.1030,Eye,Fixation,Fixation,3,3,3.3243,3.3494,836.2105,646.7851,841.6041,620.3884,-
109865.8220,Eye,Fixation,Fixation,3,3,3.2980,3.3144,835.7197,651.3021,840.8649,622.4695,-
109904.5410,Eye,Fixation,Fixation,3,3,3.2777,3.2902,836.3235,653.8942,839.9927,625.4985,-
109943.2600,Eye,Fixation,Fixation,3,3,3.2587,3.2634,836.9319,655.2990,839.6228,627.2871,-
109981.9790,Eye,Fixation,Fixation,3,3,3.2405,3.2422,837.6730,657.4339,839.4123,631.1627,-
110020.6980,Eye,Saccade,Saccade,3,3,3.2226,3.2245,842.7650,661.9737,844.7148,635.4847,-
110059.4170,Eye,Fixation,Fixation,4,4,3.2032,3.2139,970.2212,665.2334,976.8903,639.5905,-
110098.1360,Eye,Fixation,Fixation,4,4,3.1948,3.2049,967.4789,668.4834,976.4248,644.1033,-
110136.8550,Eye,Fixation,Fixation,4,4,3.1866,3.2003,966.3065,672.4050,978.7689,642.7195,-
110175.5730,Eye,Fixation,Fixation,4,4,3.1768,3.1897,967.0526,677.5318,978.6890,643.9497,-
110214.2920,Eye,Saccade,Saccade,4,4,3.1666,3.1780,967.1038,679.7722,978.8638,647.8231,-
110253.0110,Eye,Fixation,Fixation,5,5,3.1554,3.1659,1058.5601,683.6935,1065.0705,648.9840,-
110291.7300,Eye,Fixation,Fixation,5,5,3.1473,3.1489,1082.2920,686.3922,1117.2731,651.0949,-
110330.4490,Eye,Fixation,Fixation,5,5,3.1432,3.1384,1093.3773,693.5616,1122.3315,652.2737,-
110369.1680,Eye,Fixation,Fixation,5,5,3.1435,3.1339,1096.5298,696.7547,1124.5300,653.9294,-
110407.8870,Eye,Fixation,Fixation,5,5,3.1357,3.1296,1094.1151,695.6503,1123.5891,654.1074,-
110446.6060,Eye,Fixation,Fixation,5,5,3.1293,3.1263,1094.0925,697.3998,1124.5476,653.0490,-
110485.3250,Eye,Fixation,Fixation,5,5,3.1191,3.1279,1092.6660,698.2923,1114.4938,652.0728,-
110524.0440,Eye,Saccade,Saccade,5,5,3.1171,3.1347,1093.9362,699.1318,1128.9852,652.3291,-
110562.7630,Eye,Fixation,Fixation,6,6,3.1173,3.1296,1236.3317,705.6685,1260.8421,652.3296,-
110601.4820,Eye,Fixation,Fixation,6,6,3.1180,3.1372,1240.7464,707.6316,1272.2530,641.5188,-
110640.2010,Eye,Fixation,Fixation,6,6,3.1169,3.1312,1242.5141,709.6139,1272.1076,639.5576,-
110678.9200,Eye,Fixation,Fixation,6,6,3.1166,3.1263,1244.7756,710.4338,1270.8660,628.2803,-
110717.6390,Eye,Fixation,Fixation,6,6,3.1180,3.1231,1246.5521,713.3052,1272.4031,632.5933,-
110756.3570,Eye,Fixation,Fixation,6,6,3.1197,3.1221,1245.9451,712.5813,1272.5050,621.5084,-
110795.0760,Eye,Saccade,Saccade,6,6,3.1234,3.1264,1220.4834,713.5601,1221.3635,628.1381,-
110833.7950,Eye,Fixation,Fixation,7,7,3.1248,3.1234,980.8748,704.6722,997.1327,639.2873,-
110872.5140,Eye,Fixation,Fixation,7,7,3.1270,3.1270,977.6110,692.5150,994.5116,643.0271,-
110911.2330,Eye,Fixation,Fixation,7,7,3.1286,3.1220,978.6348,692.0874,996.1900,638.6379,-
110949.9520,Eye,Fixation,Fixation,7,7,3.1251,3.1268,979.3617,695.2334,998.5429,654.8087,-
110988.6710,Eye,Fixation,Fixation,7,7,3.1257,3.1385,979.7097,688.0824,998.3288,656.2118,-
111027.3900,Eye,Fixation,Fixation,7,7,3.1206,3.1393,979.4277,686.7158,1000.0722,663.2630,-
111066.1090,Eye,Fixation,Fixation,7,7,3.1197,3.1401,979.0942,681.6583,1000.6786,656.2107,-
111104.8280,Eye,Fixation,Fixation,7,7,3.1184,3.1390,978.4569,682.7869,1001.6895,656.9501,-
111143.5470,Eye,Blink,Blink,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-
111182.2660,Eye,Blink,Blink,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-
111220.9850,Eye,Blink,Blink,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-
111259.7040,Eye,Saccade,Blink,7,1,3.1320,0.0000,798.5385,493.8350,0.0000,0.0000,-
111298.4230,Eye,Fixation,Fixation,8,8,3.1110,3.1423,794.9136,645.1518,828.3613,594.1127,-
111337.1410,Eye,Fixation,Fixation,8,8,3.1016,3.1282,798.8457,639.2246,830.2308,619.7147,-
111375.8600,Eye,Fixation,Fixation,8,8,3.0955,3.1208,800.6324,652.1872,830.8379,648.3633,-
111414.5790,Eye,Fixation,Fixation,8,8,3.0908,3.1196,804.4153,647.0875,832.3744,641.5726,-
111453.2980,Eye,Fixation,Fixation,8,8,3.0832,3.1203,806.8024,639.0898,829.8498,649.4368,-
111492.0170,Eye,Fixation,Fixation,8,8,3.0806,3.1201,810.0844,646.9141,828.0233,649.1662,-
111529.8950,Eye,Saccade,Saccade,8,7,3.0801,3.1242,811.9593,637.2791,826.6572,626.0356,-
111567.7740,Eye,Fixation,Fixation,9,9,3.0771,3.1225,916.3190,644.5848,925.8909,645.2793,-
111605.6520,Eye,Fixation,Fixation,9,9,3.0698,3.1266,970.8015,642.2285,957.4243,639.9092,-
111643.5300,Eye,Fixation,Fixation,9,9,3.0785,3.1362,955.8993,643.7625,953.8289,632.4087,-
111681.4090,Eye,Fixation,Fixation,9,9,3.0872,3.1360,962.1621,645.9824,952.0970,635.3385,-
111719.2870,Eye,Fixation,Fixation,9,9,3.0906,3.1374,960.0584,649.3983,952.1882,635.3686,-
111757.1650,Eye,Fixation,Fixation,9,9,3.0928,3.1353,960.3502,651.5778,954.4798,637.2421,-
111795.0440,Eye,Fixation,Fixation,9,9,3.0942,3.1332,961.5256,653.8158,956.3162,638.5822,-
111832.9220,Eye,Fixation,Fixation,9,9,3.0952,3.1274,960.9441,655.6016,957.4964,639.3144,-
111870.8000,Eye,Fixation,Fixation,9,9,3.0951,3.1309,959.7913,655.9472,957.2538,638.0598,-
111908.6780,Eye,Fixation,Fixation,9,9,3.0968,3.1283,960.6024,658.2391,958.4417,639.9377,-
111946.5570,Eye,Fixation,Fixation,9,9,3.0973,3.1322,961.0451,659.0123,959.3264,641.3421,-
111984.4350,Eye,Fixation,Fixation,9,9,3.1008,3.1301,961.0911,660.0878,960.8781,643.5193,-
112022.3130,Eye,Fixation,Fixation,9,9,3.0970,3.1232,960.2093,661.4665,961.4709,645.8375,-
112060.1920,Eye,Fixation,Fixation,9,9,3.0978,3.1309,962.5919,661.5677,962.5717,648.7761,-
112098.0700,Eye,Fixation,Fixation,9,9,3.0952,3.1327,962.1434,662.3472,963.3432,650.7643,-
112135.9480,Eye,Fixation,Fixation,9,9,3.0982,3.1352,963.2045,662.4610,964.4941,655.6105,-
112173.8260,Eye,Fixation,Fixation,9,9,3.0982,3.1320,963.7058,662.1605,964.7477,655.7976,-
112211.7050,Eye,Fixation,Fixation,9,9,3.1026,3.1271,963.7370,661.6805,964.7586,656.9248,-
112249.5830,Eye,Fixation,Fixation,9,9,3.1023,3.1187,963.3779,661.7752,964.8864,660.0431,-
