## [BeGaze]
Participant	Sample Rate	BeGaze Version	Recorded On	Converted From	Calibration Area [px]	Stimulus Dimension [mm]	System ID	iViewX Version
43wb-aud	60	3.7.42	20.07.2017 12:03:08	C:\Users\ap2mitarbeiter\Desktop\PupilsMemory\eyeTracker\iViewXSDK_Matlab_PupilsMemory_Data_VP43wb-aud_2017_07_20-12_17_04.idf	1920x1200	518x324	EXP-4022-1	4.4.0.0
## [Data]
RecordingTime [ms],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Content
129543.8420,Information,Separator,Separator,1,1,-,-,-,-,-,-,startrecording.jpg
129549.9990,Eye,Saccade,Saccade,1,1,3.4801,3.6282,928.7471,729.3495,951.8186,687.8206,-
129551.8530,Information,User Event,User Event,2,2,-,-,-,-,-,-,begin:phase1_stimType:aud
129586.4950,Eye,Fixation,Fixation,1,1,3.4677,3.6224,897.7326,654.0699,891.1946,619.9865,-
129622.9910,Eye,Fixation,Fixation,1,1,3.4466,3.6114,898.3602,669.7508,912.9901,637.3225,-
129659.4870,Eye,Fixation,Fixation,1,1,3.4179,3.5956,887.7796,673.0295,910.0765,637.5550,-
129695.9830,Eye,Saccade,Saccade,2,2,3.3884,3.5677,885.0697,677.3717,912.4053,641.2914,-
129732.4790,Eye,Saccade,Saccade,2,2,3.3505,3.5327,815.5985,665.9622,826.2499,625.6290,-
129768.9750,Eye,Fixation,Fixation,2,2,3.3151,3.4912,759.0100,663.5991,760.9044,627.0935,-
129805.4710,Eye,Fixation,Fixation,2,2,3.2780,3.4604,749.8871,664.9388,761.8993,624.5910,-
129841.9670,Eye,Fixation,Fixation,2,2,3.2417,3.4205,751.9198,664.6373,760.1595,622.8552,-
129878.4630,Eye,Fixation,Fixation,2,2,3.2077,3.3795,755.0538,664.4679,761.0524,623.7834,-
129914.9590,Eye,Fixation,Fixation,2,2,3.1718,3.3385,753.0035,663.5032,759.1723,623.7897,-
129951.4550,Eye,Fixation,Fixation,2,2,3.1429,3.2995,726.1414,663.3367,721.0058,619.5793,-
129987.9510,Eye,Fixation,Fixation,2,2,3.1192,3.2608,713.0777,662.1669,718.1137,623.0274,-
130024.4470,Eye,Fixation,Fixation,2,2,3.1000,3.2334,714.5819,661.0133,707.7412,619.5554,-
130060.9430,Eye,Saccade,Saccade,3,3,3.0833,3.2027,708.9954,659.9090,708.0292,618.5348,-
130097.4390,Eye,Saccade,Saccade,3,3,3.0714,3.1782,790.7277,660.7325,773.7496,615.2306,-
130133.9340,Eye,Fixation,Fixation,3,3,3.0421,3.1680,925.3099,674.4622,937.5931,617.0713,-
130170.4300,Eye,Fixation,Fixation,3,3,3.0179,3.1467,926.2298,675.0632,942.9509,616.8633,-
