## [BeGaze]
Participant	Sample Rate	BeGaze Version	Recorded On	Converted From	Calibration Area [px]	Stimulus Dimension [mm]	System ID	iViewX Version
44bw-img (1)	60	3.7.42	21.07.2017 13:25:25	C:\Users\ap2mitarbeiter\Desktop\PupilsMemory\eyeTracker\iViewXSDK_Matlab_PupilsMemory_Data_VP44bw-img_2017_07_21-14_07_33.idf	1920x1200	518x324	EXP-4022-1	4.4.0.0
## [Data]
RecordingTime [ms],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Content
7283890.1490,Information,Separator,Separator,1,1,-,-,-,-,-,-,startrecording.jpg
7283896.1280,Information,User Event,User Event,2,2,-,-,-,-,-,-,begin:phase2_stimType:img
7284123.1020,Eye,Fixation,Fixation,1,1,3.4863,3.6297,958.0837,632.9392,991.0039,575.5754,-
7284203.2260,Eye,Fixation,Fixation,1,1,3.4622,3.5890,954.9342,629.7317,994.7725,569.7605,-
7284283.3510,Eye,Saccade,Saccade,1,1,3.4347,3.5467,968.7963,634.6988,994.9068,570.4594,-
7284363.4750,Eye,Fixation,Fixation,2,2,3.3807,3.4884,877.2656,699.5802,881.1940,639.6347,-
7284443.6000,Eye,Fixation,Fixation,2,2,3.3453,3.4192,862.2282,695.8500,875.2395,634.9104,-
7284523.7240,Eye,Saccade,Saccade,2,2,3.2984,3.3607,853.3814,696.1018,873.7757,650.3585,-
7284603.8490,Eye,Saccade,Fixation,2,3,3.2689,3.3165,770.4695,691.3730,749.8330,635.8378,-
7284683.9740,Eye,Fixation,Fixation,3,3,3.2383,3.2761,704.2211,682.3382,701.3026,628.7856,-
7284764.0980,Eye,Saccade,Saccade,3,3,3.2334,3.2491,697.2356,684.8906,694.8909,632.4845,-
7284844.2230,Eye,Fixation,Fixation,4,4,3.2149,3.2668,990.3304,676.6270,998.3577,628.9843,-
7284924.3470,Eye,Fixation,Fixation,4,4,3.2331,3.2739,999.8187,684.4804,1020.3722,632.6883,-
7285004.4720,Eye,Fixation,Fixation,4,4,3.2504,3.3064,999.1101,680.9144,1031.5667,630.6909,-
7285084.5960,Eye,Fixation,Fixation,4,4,3.2620,3.3288,1000.2778,679.4332,1039.1635,628.9204,-
