Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,hit_rate,filter_$
1,.464118187369816,.522611435291298,.364939814921613,.434438928129138,1,0,0,1,1,1,2138.299701,3,3203.682449,3,.609509508878949,.76658837454636,-.0336882822775124,-.268620821579012,1,1
2, , , , ,1,0,0,0,0,0,4284.90926, , ,0,-.0265070920168483,.040589644459851,.806733034748882,.947084057272092, ,1
3,-.128699131458806,-.0678872908991163,.591131844290017,.709109658846716,1,0,0,1,0,3,3826.210904, , , ,-.385205694615539,-.499632105792757,.552771443539215,.688774011976469,0,1
4,-.954051992919311,-.930050734302648,.578866757843509,.625321483653788,1,0,0,1,1,1,3371.470676,4,1209.746832,4,.896102946855242,.913038775227054,-.150281015331528,-.0328663949160328,1,1
5,.612748672780872,.689205525934113,-.674329316015541,-.754765168358433,1,0,0,1,0,3,1692.431341, , , ,.455002940052069,.42049423704991,.000839039447339429,-.0570563459409306,0,1
6, , , , ,1,0,0,0,1,2,3232.476803,2,543.1657076, ,.113575677832639,.167941018982067,.928354558347326,.986744977076123, ,1
7, , , , ,1,0,0,0,1,2,3692.083935,1,386.2433285, ,.791119502981348,.898975662420695,.246998129441327,-.103667493350233, ,1
8,-2.44366800737977,-2.35103139680225,.246760178061559,.344526502127999,1,0,0,1,0,3,4532.521199, , , ,-.460808051073721,-.546250548635855,.742084762509138,.789123790391569,0,1
9,-.0793854221027527,-.179068825215377,.999821365485885,.948940687568292,1,0,0,1,1,1,2441.512141,2,443.2658558,2,-.552722465677313,-.589324341986174,.937717839725332,1.10080102045739,1,1
10, , , , ,1,0,0,0,1,2,3132.020073,1,386.7642785, ,.43744137304879,.440885284953143,-.93152987666416,-.979892088717759, ,1
11,.167031856194903,.141469709026699,-.1995588293978,-.290820302089004,1,0,0,1,1,1,2169.843798,4,2490.030096,4,.745919976582728,.785048616045638,.538016227802047,.224374326051519,1,1
12, , , , ,1,0,0,0,0,0,3412.32932, , ,0,.0136644197880223,.213465969012855,.129321432840623,.0683651996563843, ,1
13,-.0771736266130935,-.0145563459004612,.602390663113758,.476448188435269,1,0,0,1,0,3,2334.863356, , , ,-.0621807867394118,-.114182517851908,-.600910436226378,-.404329084050391,0,1
14, , , , ,1,0,0,0,0,0,1303.234573, , ,0,-.624425268461367,-.649027999063004,.930228894150308,1.00542812488898, ,1
15,.168688816556738,.276806514396175,.408003793104707,.252283360208707,1,0,0,1,0,3,1802.134291, , , ,.390069017303848,.30035598251871,.198152269588305,.0495959111637568,0,1
