Bildnummer,Antwort_Emotionsrating,RT_Emotionsrating,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Bildes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1, , , , , , ,1,0,0,0,0,0,1212.321057, , ,0,-.698349705478703,-1.01776731954517,-.263878008527934,-.35681077376454
2,0,1747.975327,-.322237209813696,-.456862909967278,-.516597592489757,.666193945961147,0,0,1,1,1,1,2526.413699,4,333.3672779,4,.547057136619953,.603216024124297,-1.01630826026085,-.697704043401093
3,2,2199.293041,.280675689507872,.116569873116141,-.0230366039332982,.217951528359596,1,0,0,1,1,1,2004.881202,4,704.6526362,4,.823045320923143,1.18309193794142,-.243564929560236,-.0332692755789337
4, , , , , , ,0,0,0,0,0,0,3503.81376, , ,0,.335986657456204,-.318255829539118,-.10526177219219,.111591954042152
5, , , , , , ,1,0,0,0,0,0,4351.877806, , ,0,-.37362378775245,-.682705778680977,.409135893387815,.479492001267618
6,0,2104.607191,-.359795902209685,.278978952714559,.0604051243509809,-.575737725358535,0,0,0,1,1,1,1453.83822,4,238.8866522,4,-.196501529832095,.150334326880797,-.14133727563547,-.44923248830637
7,3,1695.337366,1.06438639197227,.56282409088079,.388875678619321,.351416444573052,1,1,1,1,1,1,1330.227299,4,594.0226449,4,.374483087136325,.784657667036878,.0865803578864775,-.0680094133545921
8, , , , , , ,0,0,0,0,1,2,3901.248691,2,942.5781895, ,.75946811255884,.863494787368531,-.839607875799573,-1.06440089033601
9,3,1499.330188,-.319782195430594,-.737365352794113,.185184764462298,.632708209788708,1,1,1,1,1,1,1688.798674,4,278.8213386,4,-.0139226298845927,-.370662074166366,1.2207178685587,1.4506032304733
10, , , , , , ,0,0,0,0,1,2,4936.93029,2,732.9277427, ,.00196177853113242,-.219679144576475,-.141967874218891,-.267985713596043
11, , , , , , ,1,0,0,0,0,0,2169.250288, , ,0,-.0156456412193752,.119140840373835,.00678438342173087,.235553858842634
12, , , , , , ,0,0,0,0,0,0,5229.673127, , ,0,-.469211890876287,-.783481141713615,-.0973583407549413,.0107346192380344
13,0,1191.5392,.102230186904403,.324356332410918,-.548562616238526,-.389619016268535,0,0,0,1,1,1,1689.893545,3,384.6628375,3,.0672248193308841,.0514591904047483,-.22766451015018,.25418003879069
14, , , , , , ,1,0,0,0,0,0,3959.691589, , ,0,.976543710771653,.74285345406229,-1.48618942124446,-.968702621811547
15, , , , , , ,0,0,0,0,0,0,2109.54625, , ,0,.79373615104172,.570957366796191,-1.22956290096252,-1.11107514107114
16, , , , , , ,1,0,0,0,0,0,3659.7203, , ,0,.0596842247814696,-.171978638657111,-.377331951512934,.11818966630433
17,0,2445.002621,1.11143517131422,.305943999927808,-.853098075577151,-.0202307369079437,0,0,0,1,1,1,1052.959404,4,294.6903776,4,1.48197325162241,1.35608174367358,-.674987036251778,-.496665178622791
18,3,2034.263798,.216089724680694,.0621432591293412,-.845247887317126,-.287281331407154,1,1,1,1,1,1,1107.827535,4,537.4788476,4,-1.89807146111475,-2.19177759753174,-.0182875557182907,.586943957270651
19,0,1434.8884,-.774439227369394,-.3732351839458,-.302921397644087,-.689055075138729,0,0,0,1,1,1,2436.419746,4,632.6616441,4,.149333224572387,-.560577015486692,-1.05222866543023,-.0171748600217033
20,3,1284.321915,.950163952461601,.622238992629811,-1.21965842053437,-1.10061940582065,1,1,1,1,1,1,2774.042951,4,688.758896,4,-.642233905133647,-.86012872605143,.545451200168014,1.13460078007451
21, , , , , , ,0,0,0,0,0,0,1379.735441, , ,0,-.725182882557219,-1.44854319071878,-.284679697796868,.0681365948363373
22, , , , , , ,1,0,0,0,0,0,4115.178051, , ,0,.222317920199978,.0363715454229787,-.710343229261357,-.185418777916758
23,0,1677.46706,-.0416177033767769,.328251978263245,-1.37303977627462,-1.52999565457677,0,0,0,1,1,1,1498.4889,4,595.5156921,4,-.367451526775543,-.767572515570747,-.802462764129493,-.339368902750565
24, , ,1.99829134638648,-.22679736340058,-1.6458763682256,.806230094149837,0,0,0,1,1,1,1153.809189,4,244.2272312,4,-.2383994465599,.328532326284845,-.0104731345715379,.0447991330047607
25,3,1443.925238,-.290276187011775,-.554460111880935,.141732819400267,.326847226988211,1,0,0,1,1,1,2191.318351,4,280.6825855,4,-.442897256958849,.00928707408284702,.126281066116026,.0165894903726775
26,0,1823.070907,-.35452506392931,-.634960192938186,-.209138358927542,.683640055310903,0,0,0,1,1,1,1234.380138,4,290.0065824,4,-.143181395119329,.157495266063857,.498873827901609,.154629272468805
27,3,1471.676717,-1.05516089213783,-.633181762806106,.762937056014895,1.46730586951242,1,1,1,1,1,1,3718.668669,4,493.5332736,4,.221547759796978,.242617186896401,.224795550731588,.752873885199287
28,0,1902.546247,.124679413635503,-.185425306908801,-.138745423974413,.306776992217061,0,0,0,1,1,1,2459.871394,4,798.6112826,4,.677278924144375,.290713824752386,.196709528171721,.627077364132306
29, , ,.981564222259376,.787484716902856,.34371880092332,.9678257484494,1,1,1,1,1,1,3278.628541,3,534.6159479,3,-2.52260528874737,-2.97960608482713,.92956303023522,1.65754532690359
30,2,2581.380518,-.445329457791734,-.706507634988542,-.117002507916882,.227046970292043,0,0,0,1,1,1,1221.624405,4,482.3481481,4,-.0701371246117515,-.0041357117900582,.0540618785471718,.208976759697244
31,3,1973.830829,-.241478259223618,-.349947628778611,.079673644212625,.417497516309267,1,0,0,1,0,3,1303.998858, , , ,.749476400227481,.824108498509299,.385038315600506,.473446211397468
32, , , , , , ,0,0,0,0,0,0,3203.112664, , ,0,.973877469045715,.657502829639461,.0721607073773478,-.0485959376921012
33, , ,.89518512037403,.560150161165574,.142500288147133,.694971255459787,1,0,0,1,1,1,1036.661946,4,226.9839106,4,-.405704845554148,-.634391347007819,.664103913380259,.773193569167646
34,0,2396.296916,-.536293197870442,-.842834920940597,.830409125104734,.964934790810367,0,0,0,1,1,1,2242.586049,3,586.9757624,3,.514415305971613,.294588510045407,-1.15604477725397,-1.07760868260969
35,3,2727.458815,.656989617179649,.115861183771816,.604162136351504,.502264446366438,1,0,0,1,1,1,1291.688387,4,281.6709021,4,-.0340104631277314,-.0500177098641502,.0639270157066082,.252888292750572
