Wortnummer,Emotionalität_des_Wortes,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1,1, , , , ,0,0,0,0,0,1825.268978, , ,0,.761623664388276,1.43756503455352,-.713785654426418,-.933435314664103
2,1, , , , ,0,0,0,0,0,1406.295222, , ,0,.159421464143479,1.0486416202335,-.412729060210817,-.365943436676875
3,1, , , , ,0,0,0,1,2,1779.716762,3,1413.332435, ,-.517169952416843,-.0700854818347528,-.45409654817757,-.234399254469805
4,1, , , , ,0,0,0,0,0,1479.317883, , ,0,-.542311968662357,.469326286356282,.313493651297933,.446260696809007
5,1, , , , ,0,0,0,0,0,2188.531687, , ,0,-2.24075112971614,-.443352714336596,1.78920158758662,-.889318490707384
6,1, , , , ,1,0,1,1,1,1104.59851,3,839.417955,3,-.453825654091589,-.560593349177337,.554729964340973,1.06203870746549
7,1, , , , ,0,0,1,1,1,1253.137586,3,737.6380408,3,-.398677643608118,.101168960188726,.455091057049051,-.169097804809233
8,1, , , , ,1,1,1,1,1,1327.066021,4,543.0668033,4,-1.89431362064839,-1.67726979595399,1.79692875431022,1.71708788687284
9,1, , , , ,0,0,1,1,1,1808.113791,3,742.2240828,3,-.056707567145559,.224446531016094,-.267458884496647,-.665904305649411
10,1, , , , ,1,1,1,1,1,1280.52905,4,1157.485119,4,.508917707456052,-.225660021643361,-.347348551651591,-.428844103694125
11,1, , , , ,0,0,0,1,2,1523.92675,3,3661.732886, ,-.288674783340753,-.105916972137974,.596629688846426,.507514277649506
12,1, , , , ,0,0,1,1,1,1602.35333,4,378.5489617,4,-.656179807279421,.0413712972275787,.285746987718888,-.136618605719347
13,1, , , , ,0,0,1,1,1,1308.882248,4,645.2129766,4,-.982401249767071,-1.85645703027967,2.14555106001283,1.27691727943044
14,1, , , , ,1,1,1,1,1,1002.077449,4,343.767413,4,.616894215520225,.098303623850805,-.0199225287094607,-.385018634306163
15,1, , , , ,0,0,1,1,1,1803.819991,3,753.7530255,3,.0508082218334288,.459421238127448,.283854167023543,-.770360865295858
16,1, , , , ,0,0,0,0,0,2954.821263, , ,0,.676333069313483,1.04440474957452,-.422054698240212,-.370850176301813
17,1, , , , ,0,0,1,1,1,1553.584289,2,1218.633522,2,-.197725241338562,-.215022132721714,-.590692416521714,.537530993358199
18,1, , , , ,0,0,1,1,1,2174.94743,2,335.1759624,2,-.191696322172144,-.384469821337686,.654668422200342,.70832792606335
19,1, , , , ,0,0,1,1,1,1804.195317,3,548.9453162,3,-1.7698330534326,-1.56611603050876,1.56394286327961,-.203175613346432
20,1, , , , ,0,0,0,0,0,1514.741632, , ,0,-.32681443097917,-.053029098551931,.123502118689083,.0412022853373048
21,1, , , , ,0,0,0,0,0,2349.883633, , ,0,-.595346401589365,-.504502005633353,-.0284485425161571,-.126596976711029
22,1, , , , ,0,0,0,0,0,1621.562353, , ,0,1.06207688803101,1.43818183395223,-.490979331360095,-.731681878236814
23,1, , , , ,0,0,0,0,0,1249.788839, , ,0,-.479080175975103,-.0443560430526384,-.309826345669341,-.34523382665302
24,1, , , , ,1,1,1,1,1,1399.40267,4,1195.786121,4,-.620809468587575,-.0692004113251831,.417398280544204,.0603026499927492
25,1, , , , ,0,0,0,1,2,2319.456514,3,1404.164201, ,-.321988427578822,.182062844913288,-.368424399436692,-.203210768918619
26,1, , , , ,0,0,0,0,0,3452.153717, , ,0,.54129809245798,-1.31013314849242,.182904759920667,-.360335121816755
27,1, , , , ,0,0,0,1,2,1137.672701,3,633.0900126, ,-1.282626247687,-.848160094809316,.217441568928039,.326065290770336
28,1, , , , ,0,0,0,0,0,1585.07772, , ,0,-.4984431736248,-.6576490527726,.312294667893895,.104312472962563
29,1, , , , ,0,0,0,0,0,1403.892169, , ,0,.931277108465846,1.15631287415618,-.449313482853348,-.343201110864559
30,1, , , , ,0,0,1,0,3,4098.39588, , , ,-.00771913341946773,.431582824217929,-.28654272087281,-.715711805385779
31,1, , , , ,0,0,1,1,1,1220.956239,2,1045.26503,2,.0530906366323523,.504364563990027,-.170372771091625,-.496677652268792
32,1, , , , ,0,0,1,1,1,1139.594872,3,1814.700292,3,-.0145988111642615,.34287039299584,-.0916777822780412,-1.35878343921442
33,1, , , , ,0,0,0,1,2,2334.271768,2,599.2518213, ,-1.67281833291314,-1.1193489919584,1.55509499987347,1.38016693599999
34,1, , , , ,0,0,0,0,0,1447.737568, , ,0,-1.63001970705124,-1.86470170471966,.454357721980069,1.14815049701107
35,1, , , , ,0,0,1,0,3,3667.451645, , , ,1.48540628009882,.987442121520223,-.914846073560087,-.720600499326875
36,1, , , , ,0,0,1,1,1,2925.060291,2,584.8387299,2,-.674624271503653,.444361174130408,-.168885301592016,.102274461386677
37,1, , , , ,0,0,1,1,1,1084.343267,3,1778.366431,3,-1.25608348655294,-.890486272152396,2.73015814814776,3.19968003322327
38,1, , , , ,1,0,1,1,1,1747.934821,4,478.8600394,4,.206169605154501,.60673165953109,.383045587387489,.207995920719701
39,1, , , , ,0,0,1,1,1,1037.000146,4,432.2257991,4,.638710451261463,-.434456069645895,1.89054492748793,2.28623475592314
40,1, , , , ,0,0,1,1,1,1647.303984,2,573.3188871,2,-.778717985855806,-.0177565545398377,1.38049538881077,1.07139489464101
41,1, , , , ,0,0,1,1,1,1677.521625,2,436.3293699,2,-3.19803779704914,-.379435133078469,3.21985315421856,.591767487034184
42,1, , , , ,0,0,1,0,3,3078.996627, , , ,-.388832769999422,-.203823275481012,.599299531148756,.704703452061872
43,1, , , , ,0,0,0,0,0,1999.140278, , ,0,-.665322860003448,-.522527518015263,.520914497468807,.714174197578193
44,1, , , , ,1,0,1,1,1,1098.252807,4,1092.96006,4,.664236152700996,.104914102542079,-.147598539319328,-.268000487812942
45,1, , , , ,0,0,1,1,1,1472.697556,4,691.2200841,4,.314232924948276,-1.06374871233944,.82175228870272,1.88445601879496
46,1, , , , ,0,0,0,0,0,2597.633315, , ,0,.375444106922793,-1.53336036536666,.0205821402835121,.222575200637266
47,1, , , , ,1,1,1,1,1,1163.908337,4,393.4818279,4,.717296190902763,-.515283169676653,-.110704996293877,-.438260687748129
48,1, , , , ,0,0,0,0,0,1881.254682, , ,0,-2.23838778494622,-1.54636321289919,.958728991639661,-.0768323869110608
49,1, , , , ,0,0,0,1,2,2879.375482,1,1203.572339, ,1.58212222429644,.999360177885051,-.366559992336559,-.140098515780962
50,1, , , , ,1,0,1,0,3,3373.003145, , , ,.592090997031754,.781407376417077,-.468089622281387,-.365087685572241
51,1, , , , ,0,0,0,0,0,1639.5575, , ,0,-.159428810633184,-.27538053291301,.571695666217383,.487192319265286
52,1, , , , ,0,0,0,0,0,1373.164148, , ,0,-1.36420107189888,-1.08850594959042,.223740654528511,.525118295684114
53,1, , , , ,0,0,0,0,0,1982.287151, , ,0,-.559603801595313,-.246476799147325,-.132942980454875,-.238582830249863
54,1, , , , ,0,0,1,1,1,2808.625134,2,943.6938663,2,-1.31984292365233,-.860317971009472,.212767263351277,.649623064094344
55,1, , , , ,0,0,0,0,0,1044.343395, , ,0,-.642805975311271,.189335212781736,-.860320558489936,-.973115929198566
56,1, , , , ,0,0,1,1,1,3421.143078,3,1010.080888,3,-.301302696053139,-.0337849335727744,.68192490576284,.469114881906491
57,1, , , , ,0,0,0,1,2,4493.119173,3,1302.589593, ,.293200752264581,.541653647567168,.0270249887582603,.206201786172754
58,1, , , , ,0,0,0,1,2,1985.567248,2,444.8329235, ,.547947963697645,1.39908486212235,.662733700302763,-.233081260254494
59,1, , , , ,0,0,0,0,0,1713.149744, , ,0,-.477651559214699,-.0305424148417586,.837699017463704,.611712843038875
60,1, , , , ,0,0,0,1,2,1078.687704,2,544.7621889, ,-1.70543630153248,-.71868213628206,.899412850678026,.599241263648968
61,1, , , , ,0,0,1,1,1,1738.098056,3,635.9678374,3,.135506137522378,.100363961985048,-.831178338801883,-.630510770088733
62,1, , , , ,0,0,0,0,0,2954.194114, , ,0,.124475796991047,.199476365596126,.351881849159337,.418264748541937
63,1, , , , ,0,0,1,1,1,1628.782097,3,1209.568262,3,.733042253095128,.150589113652941,-1.17053962043915,-.332036916959741
64,1, , , , ,0,0,0,1,2,3252.937733,2,533.1575393, ,-.677399883287087,-.25435664197714,.166240867600789,-.20146446360195
65,1, , , , ,0,0,0,1,2,1723.471547,2,1308.938708, ,-.824250065724851,-1.26412658086927,-.138256287778152,-.385298347466713
66,1, , , , ,0,0,1,1,1,2891.545046,1,332.2140901,1,.144879243791897,.638367821016931,-.107686725291226,-.100279297545426
67,1, , , , ,0,0,0,1,2,1944.145306,2,953.9163086, ,-.543856025286839,-.138568999185474,-.744473459319606,-.161823339965105
68,1, , , , ,0,0,0,0,0,3162.432052, , ,0,.340400631599861,-3.87602529788122,.394714073041201,.290464594092736
