Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left
1,-.432887448561825,-.547611747882725,.784955245332309,1.11355422636472,1, , ,1,1,1,3392.199433,2,537.7108794,2,.328634622518891,.108132405236867,.15223279387288,.122867736671557
2,-.365874641771882,-.500897641251735,-.841014050977421,-.493529088063966,1,1, ,1,1,1,2592.398768,1,382.3712708,1,-1.04822463988114,-1.108180190325,.772903401824264,.902310536481421
3, , , , ,1, , ,0,0,0,1012.515386, , ,0,.0408190813916448,.0810105519616146,-.190522355316283,-.0715828018035907
4,1.94064912444024,1.81275524967737,-.140980184416757,-.0949639108926787,1,1,1,1,1,1,1472.090995,4,432.6275124,4,-1.63520733010901,-1.7400270386858,1.5035067530061,1.5169505784062
5, , , , ,1, , ,0,0,0,1993.514069, , ,0,-2.24469992452907,-2.15016866804043,.929686623051734,.790323025858429
6,-1.33376045573576,-1.17516566468342,.67102841862869,.635131207488016,1, , ,1,0,3,1483.788381, , , ,-1.42394684671384,-1.45697235625086,.149387693616264,.274380500058084
7,-.093263393587083,-.0341269368024991,1.08666985193028,.618908836354528,1,1,1,1,1,1,1518.457106,4,395.0277847,4,.496500736827212,.589420817095748,.78312265533483,.737540317003621
8, , , , ,1, , ,0,0,0,1666.768472, , ,0,1.09072878478778,.932869463642197,.0672300328067272,.00407090095921303
9, , , , ,1, , ,0,0,0,1269.363241, , ,0,-.870890840678265,-.838684057970696,1.2248194154278,1.2258866018307
10,-1.59813897560634,-1.39460011158055,.978895687937652,.695339526757746,1, , ,1,0,3,4267.610594, , , ,-.577198795518444,-.552050173942882,.589830010012333,.478298684593146
11, , , , ,1, , ,0,0,0,1837.417715, , ,0,-.315090251633716,-.274575173875945,.705858108802445,.856850807384222
12,-.409791749565487,-.295472001325098,-.22875347201431,-.478528389434245,1, , ,1,1,1,4744.921268,2,384.453142,2,-.465857457821107,-.561486070686697,.707886939685945,.597425822673291
13,.288816029551678,.177277178173525,1.2133958134393,1.23710042262679,1, , ,1,1,1,3229.920288,2,539.2012416,2,-.624760642740465,-.642353112254309,.35334192257065,.338431105989988
14, , , , ,1, , ,0,0,0,4541.22218, , ,0,-1.56628966771499,-1.53524844304281,1.01005507286916,1.16583250585694
15, , , , ,1, , ,0,0,0,1048.249434, , ,0,-.870342328456201,-.849215306119832,.751219549650199,1.01776004544708
16,-.136090715155208,-.0916503934006302,.456558170180948,.313827165906106,1,1,1,1,1,1,953.7317277,4,394.246355,4,.260639903655093,.461518432624221,.233403937458131,.313586672194854
17,-.176259820371095,-.292791050926675,.267600785734058,.137863811995254,1, , ,1,1,1,2959.243542,1,434.7520645,1,-1.06881652235773,-1.04871266296612,.521942451777489,.698743181889227
