Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left;filter_$
1;3;1944,198677;-1,03443180364011;-,409373293384008;1,27325490993255;1,38493488060665;1;0;0;1;1;1;2253,934282;4;429,0083402;4;1,02448488308029;,393447238006734;-,575292326946334;,0408173368093731;0
2; ; ; ; ; ; ;0;0;0;0;0;0;1401,649731; ; ;0;,257030991625485;-,504043946168851;,0119376064886897;,137837010734857;0
3;2;1933,059558;,118516842553305;-,193078917277157;-,827013350652518;-,57434067584788;1;0;0;1;1;1;1384,397248;4;383,1438044;4;-,293107315371324;,242328034374316;-,153389429459942;-,968401142506261;0
4; ; ; ; ; ; ;0;0;0;0;0;0;3510,347433; ; ;0;,868401750679601;,425741715901738;-,276478951946449;,253726459808915;0
5;3;1689,257;-,869265878657612;-1,05169464347503;1,1676595751553;1,15162748876368;1;0;0;1;1;1;2197,009105;4;326,9181565;4;-,412108435506341;-1,4228980390857;,0633650776202401;1,30118121454335;0
6;0;1958,218635;-,858286351866292;-,100477630232185;,336556348976154;-,122449455723676;0;0;0;1;1;1;1336,432842;4;350,4824381;4;-,89798915075548;-,473266736738397;,113409747493404;-,292451307702552;0
7; ; ; ; ; ; ;1;0;0;0;0;0;2456,018628; ; ;0;-,166692904964992;,0678365510429032;,413343760268491;,676988632266731;0
8;0;1013,538967;-,761828936254442;-,450987774200423;,714064588410352;,258713731770656;0;0;0;1;1;1;1185,097546;4;281,0638843;4;,130403790345562;-,683125305192051;-,0360671538795267;,240112273598499;0
9; ; ; ; ; ; ;1;0;0;0;0;0;1811,180838; ; ;0;-,0129659080651507;,495038909726596;,321185647287393;-,115133158665885;0
10; ; ; ; ; ; ;0;0;0;0;0;0;3816,616381; ; ;0;1,11426324653582;,749427477320209;-,037282099328271;,405766663415905;0
11;3;1002,491258;-1,3087230152239;-1,24338387528157;,590776960788763;,41706752104378;1;1;1;1;1;1;1538,071683;4;375,6324471;4;,3928170862497;,308985204734161;,129586812792167;,841890316991814;0
12; ; ; ; ; ; ;0;0;0;0;0;0;823,4487362; ; ;0;,378818783808841;-,286996496648147;-1,49743167820674;-1,19023479198321;0
13; ; ; ; ; ; ;0;0;0;0;1;2;2613,752;2;457,6502211; ;-1,36835132926459;-,970888557171459;,177682718009979;,0994264610981601;0
14; ; ; ; ; ; ;1;0;0;0;0;0;2223,221077; ; ;0;,408682460850917;,189351768258619;,610013228140791;,737712276426115;0
15; ; ; ; ; ; ;0;0;0;0;1;2;2132,306037;1;569,8333803; ;-,189370032671785;-,394482225866441;-,583235532564722;-,478049217915668;0
16;0;1596,527324;-,315047876992384;,331975523330935;2,42449141909679;1,91264608620438;1;0;0;1;0;3;1835,143155; ; ; ;-,300760099806607;-,463279254821256;-,307847850161202;,177478307968546;0
17;0;904,2671987;-,305187433941185;-,224273386843793;,370747160336771;,270807939326618;0;1;1;1;1;1;2093,476563;4;390,727007;4;1,56610189462791;2,35233311163139;-1,124527610242;-2,18149931744148;0
18;3;1962,268232;,405009602224357;,0685170308659207;-,231644808863802;-,166212951637573;1;0;0;1;1;1;1301,177348;4;349,5789198;4;-,0276987428907422;-,405977907599041;-,257906164753985;-,129389909588677;0
19; ; ; ; ; ; ;0;0;0;0;1;2;2778,509208;3;2192,217604; ;-,00522690246593531;1,12871957808066;-,135559548200582;-,539424787662964;0
20;3;1088,821831;-1,06832478563347;-1,5783369746677;,596788195105954;,717646818300885;1;1;1;1;1;1;1101,465205;4;307,544955;4;,404702532750038;,0225728152302238;,221223725358411;,247631410504166;0
21; ; ; ; ; ; ;0;0;0;0;0;0;1230,475844; ; ;0;-,674837022064639;-1,0885729907607;-,210205145072433;,198732498722405;0
22;3;1262,292191;2,0869192416246;1,81504637590386;-1,6141992782529;-1,16867569557817;1;0;0;1;1;1;1898,865727;4;314,9976173;4;1,49735802127037;2,32436572957172;-1,25777039176999;-2,3183999245718;0
23;0;1049,064191;-,915835385935012;-,476346112614849;-,259350576668751;-,345206398946531;0;0;0;1;1;1;2577,337681;4;280,7232608;4;,54882407582203;,67027648982105;-1,1190939885129;-,965250444449171;0
24; ; ; ; ; ; ;0;0;0;0;1;2;2158,92278;2;1435,975215; ;1,07596710077897;,783824570136413;-,633971144274959;,16434338890312;0
25;3;1004,091404;1,5803053786073;1,56833560820157;-1,41318812897365;-1,41118161369665;1;0;0;1;1;1;2007,23339;4;1056,42975;4;-1,01529082699793;-,970211975680569;,747177637013897;,722540566547312;0
26;1;1582,265531;,300815143588544;-,0102418939320284;1,05547520361194;,77054062335404;0;0;0;1;1;1;1649,059774;4;370,3620844;4;-,420754453311654;-,454749695210026;-,483004186020471;-,138012464641434;0
27;3;1186,435853;,407639664636712;,268162798366541;,10469847756501;,355028261203765;1;0;0;1;1;1;2977,288993;1;919,7255483;1;-,742314011091502;-1,54885071454997;,316637484795306;1,11192344934005;0
28;0;1020,020696;,349615630910475;,437066414656398;-,298711400378858;-,597056355505915;0;0;0;1;0;3;1206,027609; ; ; ;-,338338165187734;-,271040611373742;-,463522620072094;-,681667483844812;0
29;0;2027,005016;,510083802991131;,788383147081346;,180447940633051;,302299757362747;1;1;0;1;0;3;2081,695224; ; ; ;,039295976333324;-,22429025201447;1,2607986205333;1,51367025162946;0
30;0;865,8418909;,0990349836097525;,282438753441499;-,929568220438352;-1,29923976197745;0;0;0;1;1;1;4370,412761;4;317,1690119;4;-,0531409655965226;-,809398553082352;-1,22480995202156;-,262647106913247;0
31; ; ; ; ; ; ;1;0;0;0;1;2;1379,236577;4;295,9804347; ;-,88220554430664;-1,01277651211029;,595804959061256;,957293059356073;0
32; ; ; ; ; ; ;0;0;0;0;0;0;2012,981973; ; ;0;,306968969008244;,0539236602420126;-,693871037752141;-1,00000598601221;0
33;3;1548,652528;-,627139452611333;,0662157280531679;,586039609608306;,0135269339574514;1;0;0;1;1;1;1591,280472;4;315,8212718;4;-,0131806347293302;-,0452915244416685;-,251060330704709;,377828992665048;0
34;0;2316,450501;,300599790046068;-,479849723462772;,652257769259216;1,11753240453325;0;0;0;1;0;3;1098,302384; ; ; ;-,369303626920428;-,744868520219173;-,709361884365675;,0932492693168674;0
35; ; ; ; ; ; ;1;0;0;0;0;0;1501,25548; ; ;0;1,29227324635035;,301372910233943;-1,64185439170954;-1,0644749746466;0
36;0;951,000499;,249315100335231;-,239849797548629;1,0194042489124;,734592129668747;0;0;0;1;1;1;2694,807882;2;1522,699685;2;,836480819169123;,570990256214315;-,819019432622359;-,466194557497643;0
37; ; ; ; ; ; ;1;0;0;0;1;2;1700,010569;1;970,4178287; ;,865219248782494;,119910760012303;-1,06497409343874;-,431071712176044;0
38;0;1029,996189;-,950162129673504;-1,11271187121694;,032172444648697;-,2075046778637;0;0;0;1;1;1;2030,370129;4;260,4000341;4;-,953110179728343;-,612018722991354;,0890029989225547;-,291086243426194;0
39; ; ;,874631530498779;,431488144454554;-1,04684273395187;-,352756660952568;1;0;0;1;1;1;3453,759993;4;329,7807409;4;-,495276795335513;-,389655298355123;1,0657348984911;1,34974194795623;0
40; ; ; ; ; ; ;0;0;0;0;0;0;3351,422841; ; ;0;,311179130120316;1,40772619286182;,57201233296006;-,146756265744351;0
41; ; ; ; ; ; ;1;0;0;0;1;2;1457,524813;4;337,4822957; ;1,20003609929824;1,68037259072176;-,403823242233697;-1,0662929322496;0
42; ; ; ; ; ; ;0;0;0;0;1;2;5161,978449;1;4160,482849; ;2,95120635918968;4,09978535230707;-,695771548700274;-2,16171469734182;0
43; ; ; ; ; ; ;1;0;0;0;0;0;3047,690288; ; ;0;,5635793164856;-,0543474565988773;-1,70963153737421;-1,0583246648067;0
44;0;1240,766077;-,0558121972007436;-,239628730657678;-,163277348657933;-,50230800177564;0;0;0;1;1;1;1270,32366;4;342,0611478;4;,145762456490071;-,248167688351174;-,838966173696705;,201213779323824;0
45; ; ; ; ; ; ;1;0;0;0;1;2;2330,214699;1;1478,263074; ;-,391755019854629;-,599069866173705;,0777387708929684;,614219154325569;0
46;0;875,0177918;-,911707012705863;-1,04144380330191;,254315733032091;-,00516760000293548;0;0;0;1;1;1;1008,579527;4;305,5903792;4;-,432051603187148;-,189874044997397;-,340403290801092;-,191329482362247;0
47;2;2511,684639;,335590922373047;,143902132095791;,202504878105773;,50504104834382;1;0;0;1;1;1;1793,911035;4;254,1680997;4;,674684326312405;-,0360894494894252;-1,22222153892347;-,365123127902108;0
48;2;2485,956258;,567990014110542;-,222152605499878;-,899443707248288;-,273451744037067;1;0;0;1;0;3;1560,802368; ; ; ;2,69613460584395;1,92603758529777;-,970851472346947;-,690126691109847;0
49; ; ; ; ; ; ;0;0;0;0;1;2;1050,823575;4;364,8643187; ;,594355246992232;,54145726411885;-,183232714050704;-,0730474028421105;0
50; ; ; ; ; ; ;1;0;0;0;1;2;888,0831658;4;367,58642; ;-1,05993094908317;-,722028159329533;,611821516469792;,377614931256949;0
51; ; ; ; ; ; ;0;0;0;0;0;0;1752,931656; ; ;0;-,810875107418177;-,158554066432777;,131875252328853;-,512661233255233;0
52;2;2177,242633;-1,43891615830122;-,699553759923928;,460565624514806;,647446105478305;1;0;0;1;1;1;879,8783734;4;403,7986739;4;-,361766533050109;,144822716517325;,153649290170661;-,29534458421159;0
53;0;933,3029962;-1,0469177271134;-1,29555502878673;-,00640365868095349;-,00835093975233847;0;0;0;1;1;1;1072,261044;4;348,5400503;4;,5454097827646;,014167305813966;-,941477231021577;-,255549664277609;0
54;3;1559,301885;1,00014369884449;,729893637714128;-1,44765233242011;-1,36110438632847;1;0;1;1;1;1;1279,001541;4;276,6951154;4;-,660071344842281;,00512773984525967;,530824210024255;,149423348305116;0
55; ; ; ; ; ; ;0;0;0;0;0;0;692,6727305; ; ;0;-,0644469465115027;-,61842090972998;-,476355449626143;-,241634293814965;0
56; ; ; ; ; ; ;1;0;0;0;1;2;2633,834032;1;2131,648846; ;-,468072511431489;-,389979049383715;,0173501866407575;-,12403283169042;0
57; ; ; ; ; ; ;0;0;0;0;1;2;1432,902096;3;892,2270975; ;-,925072713458624;-,750519503090945;,205502167371243;-,238296196236142;0
58; ; ; ; ; ; ;1;0;0;0;0;0;1373,070394; ; ;0;-,344924555893033;-,532382882554559;-,927691492378496;-,815186811493216;0
59;0;1091,788307;-,0145456820847881;-,291827343148561;-,433556319230202;-,562844170255945;0;0;0;1;1;1;2157,752729;4;397,8954957;4;,333197505148842;,226989833198088;-,144257484575847;,141163350755675;0
60;3;1735,639934;,954420017985795;1,20960873237619;-2,08613251515021;-1,78788719174892;1;0;0;1;1;1;4432,176908;4;359,1234337;4;-,533637499753501;-,853368872421512;,370277483241596;,685714371702211;0
61;0;1411,8172;-1,05889701337734;-1,24769036552255;,838064020222665;,577851435604252;0;0;0;1;1;1;1338,303705;4;284,8219685;4;-,63931191464361;-,818468129432737;,263344498677343;,684358659503685;0
62;2;1861,356415;-,68097020157966;,638655117107515;,809804922545662;-,400211668701625;1;0;0;1;1;1;1771,65376;4;293,3208773;4;1,22923559252681;1,31644627101393;-1,52890704078273;-1,70925618500646;0
63;0;1425,254638;1,03532574743253;,508976316184182;-1,66771310622787;-1,48825524098021;0;0;0;1;1;1;1446,800305;4;971,9878399;4;-,715850734586024;-,901693220298127;,499709000573297;,808493391458681;0
64;3;2390,914529;-,296422086563423;-,109823476655087;,533091657431119;-,304594473955328;1;0;0;1;1;1;1322,238913;4;341,4366714;4;-,333547908814213;-,621557320062971;,137967042681628;,144089038943759;0
65; ; ; ; ; ; ;0;0;0;0;0;0;1325,957547; ; ;0;-,358289878788922;-,110601113991446;-,616465178128549;-,901024878877048;0
66;3;2050,350338;-,00292040911635509;,26752935895596;,276078659462781;,463084888729837;1;0;0;1;1;1;969,5204044;4;294,8661918;4;,0707935784538058;-,464179424846861;-,14670069317642;,71644357861365;0
67; ; ; ; ; ; ;1;0;0;0;0;0;1649,802923; ; ;0;-,711666351794125;-,478086502464279;,976709359609719;1,25031031718097;0
68; ; ; ; ; ; ;0;0;0;0;0;0;1517,310329; ; ;0;-,145048177137454;-,0655600554294315;-,146686020565721;-,278138393101235;0
69;3;1940,160947;,0838243032586229;,915268615802668;,601930715513852;-,0093466212723331;1;0;0;1;1;1;1853,706815;4;576,0244856;4;,842732358599542;,45943160250943;-,0746565141745938;,347420001864196;0
70;0;1569,903131;,582942030201688;1,0724991254009;-,43319739665941;-,408322405130072;0;0;0;1;1;1;1676,325048;4;302,2393112;4;-,743949956543198;-,697897295637231;,220302352100258;,206101617257144;0
71; ; ;-,300141898993905;-,714970035079504;-,573670526886786;-,229483281999636;1;0;0;1;0;3;1314,352934; ; ; ;-1,04383049398517;-1,144120559644;-,677835335180083;,445033592063383;0
72; ; ; ; ; ; ;0;0;0;0;1;2;4111,836554;2;1071,059881; ;-,068106702748237;-,732742055792152;1,17498216384356;1,79610376302081;0
73;3;1298,573387;-,00791477850567099;-,0780715674929821;-,834893610244008;-,446539270527262;1;0;0;1;1;1;1180,153053;4;310,6618844;4;,210982239510817;,248424026795833;-,937456906100989;-,999117296059783;0
74;0;1140,678869;-,176078403237112;,00504717677514278;-,267734855189438;,0947931423754681;0;0;0;1;1;1;1503,334182;4;698,819028;4;2,02634380937086;1,7578543166931;-,0670399120473961;-,481447403126398;0
