Wortnummer,pupil_d1_bl_right,pupil_d1_bl_left,pupil_d1_dilation_right,pupil_d1_dilation_left,Emotionalität_des_Wortes,d1_free_recall_remembered,d2_free_recall_remembered,recognition_correct,recognition_response,recognition_signal_detection,RT_recognition,recognition_certainty_old,RT_certainty_rating,memory_score,pupil_d2_bl_right,pupil_d2_bl_left,pupil_d2_dilation_right,pupil_d2_dilation_left,filter_$
1,-.0368194193546815,.014361584418568,.589301253267346,.2863537729551,1,0,0,1,1,1,672.7411834,4,282.3729624,4,-.976385007336435,-1.38491976141062,1.20240956766067,1.38153184339307,1
2, , , , ,1,0,0,0,0,0,1449.093682, , ,0,-.883774794879182,-.421834100134443,-.289102275072204,1.66509207855253,1
3,.651098029979038,.267160496193229,-.798704934904877,-.54967412425244,1,0,0,1,1,1,1116.857137,4,270.7715207,4,-.548524084990402,-.786480058836304,.50616181250261,.565476146394068,1
4, , , , ,1,0,0,0,1,2,2457.549759,2,848.1400211, ,.983052119391101,.593707207180759,-.0883452684625451,.0833295405648212,1
5,-2.03252755043929,-1.73760027772281,1.64973683098783,1.41271652834253,1,0,0,1,1,1,1346.794085,4,1398.035791,4,.748175560823452,.370995521426573,.295499691064333,.635762429992792,1
6, , , , ,1,0,0,0,0,0,1192.350074, , ,0,-1.57822452500397,-1.22652875768718,1.43258968007205,1.44555277887503,1
7, , , , ,1,0,0,0,1,2,982.2393525,2,272.5422924, ,-.979873604177523,-.984679985783538,.577216153316703,-.0750147701852326,1
8, , , , ,1,0,0,0,0,0,1146.432553, , ,0,-.292775412750545,-.126284003023227,.341500158436186,.0677427200275199,1
9, , , , ,1,0,0,0,0,0,2023.088681, , ,0,.0130819994438626,-.339703545764788,-.0944989733692278,.0904635084261285,1
10, , , , ,1,0,0,0,1,2,1004.677789,4,689.5192451, ,1.47077892907558,.793038662128991,-.394202680656913,-.232003828766811,1
11,-1.24647308966538,-1.4046109349915,.255597079600589,.21156624337497,1,0,0,1,1,1,1569.205254,4,343.5226487,4,.549246387354379,.266983468994942,.165418899224673,.0437629961239689,1
12, , , , ,1,0,0,0,0,0,1622.460571, , ,0,.963250593701223,.347615290620621,-.150094989938998,.23152875876495,1
13,.0510630410854154,-.194361026652977,.266522489077332,.209108188333027,1,1,0,1,0,3,1254.038049, , , ,-.381120681213081,-.836683323665795,.742709532798777,.949896813129241,1
14, , , , ,1,0,0,0,1,2,1338.175688,2,841.3770316, ,-.116389514682257,-.46319912386806,.666549818606943,.47419904019264,1
15, , , , ,1,0,0,0,1,2,1138.12666,2,581.6564735, ,-.502671585063249,-.879547080143377,.764948169342795,.922919623737743,1
16, , , , ,1,0,0,0,0,0,1097.928165, , ,0,-.21813889284255,-.526745392212465,.0222386365440172,-.0947199094190015,1
17, , , , ,1,0,0,0,1,2,777.3334809,2,487.7252903, ,.558994830770932,.0373776126184812,-.167856010078801,-.058150830466102,1
18, , , , ,1,0,0,0,1,2,831.7609715,4,272.4017855, ,-.0691728906144757,-.304935306313694,.268084592686415,.6426589608241,1
19,.0571007673751946,-.171043241764873,-.2719851938157,-.358866396692494,1,0,0,1,1,1,1058.59137,4,795.0619394,4,-.00154066568096854,.0301836954474164,-.172120954073549,-.498478510644984,1
20,.464503536547335,.990864917415383,.532182445827544,.133650718261082,1,0,0,1,1,1,941.7082493,2,897.209591,2,-1.17714201394613,-.397854376230893,.536703078571863,-.113907412101462,1
21, , , , ,1,0,0,0,0,0,1226.515381, , ,0,-.277543469912179,-.0744278500818063,-.456581966563237,-.577241324378173,1
22, , , , ,1,0,0,0,0,0,1068.476896, , ,0,.045982995974731,.113812982561034,-.536164387910521,-.673530495140866,1
