Bildnummer;Antwort_Emotionsrating;RT_Emotionsrating;pupil_d1_bl_right;pupil_d1_bl_left;pupil_d1_dilation_right;pupil_d1_dilation_left;Emotionalität_des_Bildes;d1_free_recall_remembered;d2_free_recall_remembered;recognition_correct;recognition_response;recognition_signal_detection;RT_recognition;recognition_certainty_old;RT_certainty_rating;memory_score;pupil_d2_bl_right;pupil_d2_bl_left;pupil_d2_dilation_right;pupil_d2_dilation_left
1;3;1568,171135;-,18114450741045;-,697902297712508;-,611110980688379;-,336258546366721;1;0;0;1;1;1;1887,341307;4;1490,341103;4;1,55156175789103;1,6754204274494;-,517868908825511;-,424046599182071
2;0;1282,09112;-,370949798533631;-,295855558249496;-,65652927555284;-,343587367044659;0;0;0;1;1;1;1841,735927;4;859,2119649;4;1,36373979089139;2,12469188932871;-,650546302348418;-,991680621694498
3; ; ; ; ; ; ;1;0;0;0;0;0;1160,755163; ; ;0;-,552552576959648;-,521215683392309;,0231290647761069;,256277318868983
4;0;1412,139124;1,21376256688622;,89803723751961;-1,21956061178863;-,813594633488834;0;0;0;1;1;1;2808,46548;1;956,6902606;1;,176194225319075;,0389823305741827;,068396452418776;,494904175089324
5; ; ; ; ; ; ;1;0;0;0;0;0;1822,340274; ; ;0;-,620096850844522;-1,06824449368419;1,03091975317723;,989742165764022
6; ; ; ; ; ; ;0;0;0;0;0;0;1537,9713; ; ;0;,421661793404715;1,06041760195591;-1,26327830136772;-1,51096405880292
7;2;1872,654269;-,276744507620463;-,763169960710424;1,25575820844049;1,3563621014893;1;0;0;1;1;1;2009,216519;3;1691,12582;3;,252062425408657;,635623671328014;1,07579089742915;,818695229594239
8;0;1343,331254;-,821782418762741;-,761310558073697;,130512043426311;,206253159127443;0;0;0;1;1;1;1812,933036;2;458,316401;2;-,924978112210608;-,633101573695047;,0987947438652508;,114674734720075
9; ; ; ; ; ; ;1;0;0;0;0;0;1614,351467; ; ;0;,261596990569842;,194987769889207;-,578672092497098;-,768541408443246
10; ; ; ; ; ; ;0;0;0;0;0;0;1145,745277; ; ;0;,0479278577454466;,117072097360328;-,43708157116364;-,314934691591782
11;3;1592,275635;-1,51590246227234;-1,69716367101178;1,01175387307337;1,09621858968343;1;1;1;1;0;3;1340,015811; ; ; ;-,143910794304397;-,135264183340897;,0839295307916413;,179973729698939
12;0;1235,387648;,799270202454405;-,0901455172282155;-,617580086595849;,255534054203558;0;0;0;1;1;1;1589,477613;2;1586,429321;2;1,86209943095828;2,01762543761124;-1,24136538502625;-,9266834103149
13; ; ; ; ; ; ;0;0;0;0;0;0;1011,533529; ; ;0;1,28784266604149;1,09649636202333;-,62128601480553;-,325266002890071
14; ; ; ; ; ; ;1;0;0;0;0;0;1583,87689; ; ;0;,333008849252305;,469259623705722;-,216562090936048;-,442581571578798
15; ; ; ; ; ; ;0;0;0;0;0;0;1301,998124; ; ;0;-,424719598711528;,442628965046073;-,340382240768671;-,825055735986407
16;1;2401,677077;,343020587515406;,420538327002167;,422370769776;,363683432683327;1;0;0;1;1;1;2276,877943;1;366,6598162;1;-,652853522094187;-,129825405951915;,192586839183535;,085866078044015
17; ; ; ; ; ; ;0;0;0;0;0;0;1388,740365; ; ;0;1,19420943440682;,803984413499389;,2532231863209;-,00791832569688933
18;3;2284,673035;-,881692775338726;-1,15859148087939;,630352403116667;,577308573653987;1;0;0;1;1;1;1294,261929;4;688,5025058;4;-1,48669362021365;-2,04957339631654;2,09775667253165;1,99005022378921
19; ; ; ; ; ; ;0;0;0;0;0;0;1744,810583; ; ;0;-,213043863952736;-,516294942573725;-1,64558457182809;-1,58571600799115
20;3;1227,148934;,0495342500064395;-,27335952280695;,248977494696651;,194144547344697;1;0;0;1;1;1;1773,19844;3;883,3606307;3;,246064876355654;,708027167843769;,0165256797312876;,372869560148358
21; ; ; ; ; ; ;0;0;0;0;0;0;1153,343555; ; ;0;,791650936760815;1,13828929597032;,161580460275806;,204682375626378
22; ; ; ; ; ; ;1;0;0;0;0;0;1276,330123; ; ;0;,110628542777257;-,282738094149638;-,716422926063711;-,634770106195566
23;1;1775,544121;,223796885428795;,0864160675349669;-,963247144882505;-1,06435004753346;0;0;0;1;1;1;1636,71651;3;852,4575487;3;-,0151073903474353;-,267891554266151;-1,43880256217359;-1,49169735325121
24; ; ; ; ; ; ;0;0;0;0;0;0;1172,835108; ; ;0;-1,00001765499996;-,814533266973555;-,0344408498537174;,198932325677865
25; ; ; ; ; ; ;1;0;0;0;0;0;1700,78612; ; ;0;-1,36677397431061;-,7387776977552;,608459329840233;,676262773043789
26;1;1832,065285;,117062280723309;,105942845644174;-,274461605676586;,0618765043067447;0;0;0;1;0;3;1973,144749; ; ; ;-,357760224801473;,281313954184566;,525348851845075;,339681856631892
27;3;1325,416613;1,18116819440768;1,53926121146214;-,439900822834623;-1,13519661670058;1;1;0;1;1;1;1453,444074;4;1331,341138;4;1,04334648782337;1,47134920152405;,00210861502755755;,0365282508152753
28;0;988,6014903;-1,11816543941225;-1,15452157363636;,398397278648577;,568614973498634;0;0;0;1;0;3;1147,00706; ; ; ;,392468514889908;,365778785767667;-1,0450356818569;-1,05897836433081
29;3;2660,246388;,288045751033468;,0747499633966231;1,08875838669149;1,29021764431073;1;0;0;1;1;1;1982,463784;3;986,8402504;3;-,479962998452694;,52547153771864;1,68666062396298;,961197888452397
30;0;1879,779713;1,16731296528288;,582294529316532;-1,66102311996532;-,626282892241483;0;1;1;1;1;1;1209,413003;4;1350,407714;4;,883809802904059;1,03320597195516;,0218230085448015;,134044843941505
31;3;1384,011327;,614346747192657;,283682928553765;,583639015109797;,527188722901171;1;0;0;1;1;1;1990,973598;3;1103,311673;3;-,510680129757192;-,245916248837791;,570800256058182;,388850442404964
32;1;1721,676397;,693395501519785;,206477671170971;-,392764944281658;,0728390487621396;0;0;0;1;1;1;1955,135003;4;974,6111615;4;,988128156207813;1,29292260563401;-1,05341711323986;-1,06908553685537
33; ; ; ; ; ; ;1;0;0;0;0;0;1652,361135; ; ;0;,886824486048738;1,29221197350026;,48605745742212;,659738680308503
34;0;1620,189182;-,69765761434794;-,903932630660736;,270068352447857;,516252080288059;0;0;0;1;1;1;2220,695916;3;793,4940833;3;,052151354831964;,325647936367386;,0160228709810038;,0657618309311052
35; ; ; ; ; ; ;1;0;0;0;0;0;1243,11773; ; ;0;-,0448570322445185;,848850727655912;-,570634376940267;-,780953282070652
36;1;1797,550696;-,290843986494264;-,847470146553172;,546609863619815;1,23448704779627;0;0;0;1;0;3;1378,831172; ; ; ;-,549505353459605;-,424636135924303;-,0850055318756618;-,183178398553053
37;3;1713,387648;1,06546784483124;,687640889628414;-,948201302149697;-,709861858054271;1;0;0;1;1;1;1398,219769;4;676,1492915;4;5,05411546038541;3,87659026818239;-2,46281703672869;-1,91855238137135
38; ; ; ; ; ; ;0;0;0;0;0;0;1833,859891; ; ;0;-,760987292324233;-1,03439572987495;-,413933278308766;-,243980385010893
39; ; ; ; ; ; ;1;0;0;0;0;0;1648,819549; ; ;0;,765566105822068;1,47343499631013;1,18153741077386;,189139155413731
40;0;1669,57111;,247776424605654;-,228147607359671;-,139939975662676;,269328140963073;0;0;0;1;1;1;2239,511996;2;1323,782953;2;-,0299457923932064;,247460810249217;-,295246598522427;,218303279806716
41;2;1758,070171;-,881241561753733;-,799261109669492;1,2540306278043;1,09567329525167;1;1;0;1;1;1;1023,130764;4;613,6923505;4;-,629987534900067;-1,20271280955784;-,0500089822813562;,050548601227002
